"大字町丁目コード","地域名"
"011020038008","北海道札幌市北区北六条西八丁目"
"011020038009","北海道札幌市北区北六条西九丁目"
"011020039001","北海道札幌市北区北七条西一丁目"
"011020039002","北海道札幌市北区北七条西二丁目"
"011020039003","北海道札幌市北区北七条西三丁目"
"011020039004","北海道札幌市北区北七条西四丁目"
"011020039005","北海道札幌市北区北七条西五丁目"
"011020039006","北海道札幌市北区北七条西六丁目"
"011020039007","北海道札幌市北区北七条西七丁目"
"011020039008","北海道札幌市北区北七条西八丁目"
"011020039009","北海道札幌市北区北七条西九丁目"
"011020039010","北海道札幌市北区北七条西十丁目"
"011020040001","北海道札幌市北区北八条西一丁目"
"011020040002","北海道札幌市北区北八条西二丁目"
"011020040003","北海道札幌市北区北八条西三丁目"
"011020040004","北海道札幌市北区北八条西四丁目"
"011020040005","北海道札幌市北区北八条西五丁目"
"011020040006","北海道札幌市北区北八条西六丁目"
"011020040007","北海道札幌市北区北八条西七丁目"
"011020040008","北海道札幌市北区北八条西八丁目"
"011020040009","北海道札幌市北区北八条西九丁目"
"011020040010","北海道札幌市北区北八条西十丁目"
"011020041001","北海道札幌市北区北九条西一丁目"
"011020041002","北海道札幌市北区北九条西二丁目"
"011020041003","北海道札幌市北区北九条西三丁目"
"011020041004","北海道札幌市北区北九条西四丁目"
"011020041005","北海道札幌市北区北九条西五丁目"
"011020041006","北海道札幌市北区北九条西六丁目"
"011020041007","北海道札幌市北区北九条西七丁目"
"011020041008","北海道札幌市北区北九条西八丁目"
"011020041009","北海道札幌市北区北九条西九丁目"
"011020041010","北海道札幌市北区北九条西十丁目"
"011020041011","北海道札幌市北区北九条西十一丁目"
"011020106001","北海道札幌市北区屯田一条一丁目"
"011030003001","北海道札幌市東区北十条東一丁目"
"011030003002","北海道札幌市東区北十条東二丁目"
"011030003003","北海道札幌市東区北十条東三丁目"
"011030004001","北海道札幌市東区北十一条東一丁目"
"011030004002","北海道札幌市東区北十一条東二丁目"
"011030004003","北海道札幌市東区北十一条東三丁目"
"011030005001","北海道札幌市東区北十二条東一丁目"
"011030005002","北海道札幌市東区北十二条東二丁目"
"011030005003","北海道札幌市東区北十二条東三丁目"
"011030006001","北海道札幌市東区北十三条東一丁目"
"011030006002","北海道札幌市東区北十三条東二丁目"
"011030006003","北海道札幌市東区北十三条東三丁目"
"011030007001","北海道札幌市東区北十四条東一丁目"
"011030007002","北海道札幌市東区北十四条東二丁目"
"011030008002","北海道札幌市東区北十五条東二丁目"
"011030025002","北海道札幌市東区北三十三条東二丁目"
"011030026002","北海道札幌市東区北三十四条東二丁目"
"011030026003","北海道札幌市東区北三十四条東三丁目"
"011030026005","北海道札幌市東区北三十四条東五丁目"
"011030027001","北海道札幌市東区北三十五条東一丁目"
"011030027002","北海道札幌市東区北三十五条東二丁目"
"011030027003","北海道札幌市東区北三十五条東三丁目"
"011030027004","北海道札幌市東区北三十五条東四丁目"
"011030027005","北海道札幌市東区北三十五条東五丁目"
"011030028001","北海道札幌市東区北三十六条東一丁目"
"011030028002","北海道札幌市東区北三十六条東二丁目"
"011030028003","北海道札幌市東区北三十六条東三丁目"
"011030028004","北海道札幌市東区北三十六条東四丁目"
"011030028005","北海道札幌市東区北三十六条東五丁目"
"011030028008","北海道札幌市東区北三十六条東八丁目"
"011030029001","北海道札幌市東区北三十七条東一丁目"
"011030029002","北海道札幌市東区北三十七条東二丁目"
"011030029003","北海道札幌市東区北三十七条東三丁目"
"011030029004","北海道札幌市東区北三十七条東四丁目"
"011030029005","北海道札幌市東区北三十七条東五丁目"
"011030029006","北海道札幌市東区北三十七条東六丁目"
"011030029007","北海道札幌市東区北三十七条東七丁目"
"011030029008","北海道札幌市東区北三十七条東八丁目"
"011030030001","北海道札幌市東区北三十八条東一丁目"
"011030030002","北海道札幌市東区北三十八条東二丁目"
"011030030003","北海道札幌市東区北三十八条東三丁目"
"011030030004","北海道札幌市東区北三十八条東四丁目"
"011030030005","北海道札幌市東区北三十八条東五丁目"
"011030030006","北海道札幌市東区北三十八条東六丁目"
"011030030007","北海道札幌市東区北三十八条東七丁目"
"011030030010","北海道札幌市東区北三十八条東十丁目"
"011030030012","北海道札幌市東区北三十八条東十二丁目"
"011030031001","北海道札幌市東区北三十九条東一丁目"
"011030031002","北海道札幌市東区北三十九条東二丁目"
"011030031003","北海道札幌市東区北三十九条東三丁目"
"011030031004","北海道札幌市東区北三十九条東四丁目"
"011030031005","北海道札幌市東区北三十九条東五丁目"
"011030031006","北海道札幌市東区北三十九条東六丁目"
"011030031007","北海道札幌市東区北三十九条東七丁目"
"011030031010","北海道札幌市東区北三十九条東十丁目"
"011030031012","北海道札幌市東区北三十九条東十二丁目"
"011030032001","北海道札幌市東区北四十条東一丁目"
"011030032002","北海道札幌市東区北四十条東二丁目"
"011030032003","北海道札幌市東区北四十条東三丁目"
"011030032004","北海道札幌市東区北四十条東四丁目"
"011030032005","北海道札幌市東区北四十条東五丁目"
"011030032006","北海道札幌市東区北四十条東六丁目"
"011030032007","北海道札幌市東区北四十条東七丁目"
"011030032008","北海道札幌市東区北四十条東八丁目"
"011030032009","北海道札幌市東区北四十条東九丁目"
"011030032010","北海道札幌市東区北四十条東十丁目"
"011030032012","北海道札幌市東区北四十条東十二丁目"
"011030033001","北海道札幌市東区北四十一条東一丁目"
"011030033002","北海道札幌市東区北四十一条東二丁目"
"011030033003","北海道札幌市東区北四十一条東三丁目"
"011030033004","北海道札幌市東区北四十一条東四丁目"
"011030033005","北海道札幌市東区北四十一条東五丁目"
"011030033006","北海道札幌市東区北四十一条東六丁目"
"011030033007","北海道札幌市東区北四十一条東七丁目"
"011030033008","北海道札幌市東区北四十一条東八丁目"
"011030033009","北海道札幌市東区北四十一条東九丁目"
"011030033010","北海道札幌市東区北四十一条東十丁目"
"011030033012","北海道札幌市東区北四十一条東十二丁目"
"011030034001","北海道札幌市東区北四十二条東一丁目"
"011030034002","北海道札幌市東区北四十二条東二丁目"
"011030034003","北海道札幌市東区北四十二条東三丁目"
"011030034004","北海道札幌市東区北四十二条東四丁目"
"011030034005","北海道札幌市東区北四十二条東五丁目"
"011030034006","北海道札幌市東区北四十二条東六丁目"
"011030034007","北海道札幌市東区北四十二条東七丁目"
"011030034008","北海道札幌市東区北四十二条東八丁目"
"011030034009","北海道札幌市東区北四十二条東九丁目"
"011030034010","北海道札幌市東区北四十二条東十丁目"
"011030034012","北海道札幌市東区北四十二条東十二丁目"
"011030035001","北海道札幌市東区北四十三条東一丁目"
"011030035002","北海道札幌市東区北四十三条東二丁目"
"011030035003","北海道札幌市東区北四十三条東三丁目"
"011030035004","北海道札幌市東区北四十三条東四丁目"
"011030035005","北海道札幌市東区北四十三条東五丁目"
"011030035006","北海道札幌市東区北四十三条東六丁目"
"011030035007","北海道札幌市東区北四十三条東七丁目"
"011030035008","北海道札幌市東区北四十三条東八丁目"
"011030035009","北海道札幌市東区北四十三条東九丁目"
"011030035010","北海道札幌市東区北四十三条東十丁目"
"011030035012","北海道札幌市東区北四十三条東十二丁目"
"011030036001","北海道札幌市東区北四十四条東一丁目"
"011030036002","北海道札幌市東区北四十四条東二丁目"
"011030036003","北海道札幌市東区北四十四条東三丁目"
"011030036004","北海道札幌市東区北四十四条東四丁目"
"011030036005","北海道札幌市東区北四十四条東五丁目"
"011030036006","北海道札幌市東区北四十四条東六丁目"
"011030036007","北海道札幌市東区北四十四条東七丁目"
"011030036008","北海道札幌市東区北四十四条東八丁目"
"011030036009","北海道札幌市東区北四十四条東九丁目"
"011030036010","北海道札幌市東区北四十四条東十丁目"
"011030036012","北海道札幌市東区北四十四条東十二丁目"
"011030036013","北海道札幌市東区北四十四条東十三丁目"
"011030037001","北海道札幌市東区北四十五条東一丁目"
"011030037002","北海道札幌市東区北四十五条東二丁目"
"011030037003","北海道札幌市東区北四十五条東三丁目"
"011030037004","北海道札幌市東区北四十五条東四丁目"
"011030037005","北海道札幌市東区北四十五条東五丁目"
"011030037006","北海道札幌市東区北四十五条東六丁目"
"011030037007","北海道札幌市東区北四十五条東七丁目"
"011030038001","北海道札幌市東区北四十六条東一丁目"
"011030038002","北海道札幌市東区北四十六条東二丁目"
"011030038003","北海道札幌市東区北四十六条東三丁目"
"011030038004","北海道札幌市東区北四十六条東四丁目"
"011030038005","北海道札幌市東区北四十六条東五丁目"
"011030038006","北海道札幌市東区北四十六条東六丁目"
"011030038007","北海道札幌市東区北四十六条東七丁目"
"011030039001","北海道札幌市東区北四十七条東一丁目"
"011030039002","北海道札幌市東区北四十七条東二丁目"
"011030039003","北海道札幌市東区北四十七条東三丁目"
"011030039004","北海道札幌市東区北四十七条東四丁目"
"011030039005","北海道札幌市東区北四十七条東五丁目"
"011030040001","北海道札幌市東区北四十八条東一丁目"
"011030040002","北海道札幌市東区北四十八条東二丁目"
"011030040003","北海道札幌市東区北四十八条東三丁目"
"011030040004","北海道札幌市東区北四十八条東四丁目"
"011030040005","北海道札幌市東区北四十八条東五丁目"
"011030041002","北海道札幌市東区北四十九条東二丁目"
"011030043002","北海道札幌市東区北五十条東二丁目"
"011030046001","北海道札幌市東区北六条東一丁目"
"011030046002","北海道札幌市東区北六条東二丁目"
"011030047001","北海道札幌市東区北七条東一丁目"
"011030047002","北海道札幌市東区北七条東二丁目"
"011030048001","北海道札幌市東区北八条東一丁目"
"011030049001","北海道札幌市東区北九条東一丁目"
"011030049002","北海道札幌市東区北九条東二丁目"
"011030049003","北海道札幌市東区北九条東三丁目"
"011040048011","北海道札幌市白石区栄通十一丁目"
"011040048012","北海道札幌市白石区栄通十二丁目"
"011040048013","北海道札幌市白石区栄通十三丁目"
"011040048014","北海道札幌市白石区栄通十四丁目"
"011040048015","北海道札幌市白石区栄通十五丁目"
"011040048016","北海道札幌市白石区栄通十六丁目"
"011040052000","北海道札幌市白石区南郷通十丁目北"
"011040054000","北海道札幌市白石区南郷通十一丁目北"
"011040055000","北海道札幌市白石区南郷通十一丁目南"
"011040056000","北海道札幌市白石区南郷通十二丁目北"
"011040057000","北海道札幌市白石区南郷通十二丁目南"
"011040058000","北海道札幌市白石区南郷通十三丁目南"
"011040059000","北海道札幌市白石区南郷通十四丁目北"
"011040060000","北海道札幌市白石区南郷通十四丁目南"
"011040061000","北海道札幌市白石区南郷通十五丁目北"
"011040062000","北海道札幌市白石区南郷通十五丁目南"
"011040063000","北海道札幌市白石区南郷通十六丁目北"
"011040064000","北海道札幌市白石区南郷通十六丁目南"
"011040065000","北海道札幌市白石区南郷通十七丁目北"
"011040066000","北海道札幌市白石区南郷通十七丁目南"
"011040068000","北海道札幌市白石区南郷通十八丁目南"
"011040107000","北海道札幌市白石区平和通十四丁目北"
"011040108000","北海道札幌市白石区平和通十四丁目南"
"011040110000","北海道札幌市白石区平和通十五丁目南"
"011040112000","北海道札幌市白石区平和通十六丁目南"
"011040136000","北海道札幌市白石区本郷通十一丁目南"
"011040137000","北海道札幌市白石区本郷通十二丁目北"
"011040138000","北海道札幌市白石区本郷通十二丁目南"
"011040139000","北海道札幌市白石区本郷通十三丁目北"
"011040140000","北海道札幌市白石区本郷通十三丁目南"
"011040163000","北海道札幌市白石区本通十二丁目北"
"011040165000","北海道札幌市白石区本通十三丁目北"
"011040166000","北海道札幌市白石区本通十三丁目南"
"011040167000","北海道札幌市白石区本通十四丁目北"
"011040168000","北海道札幌市白石区本通十四丁目南"
"011040169000","北海道札幌市白石区本通十五丁目北"
"011040170000","北海道札幌市白石区本通十五丁目南"
"011040171000","北海道札幌市白石区本通十六丁目北"
"011040172000","北海道札幌市白石区本通十六丁目南"
"011040173000","北海道札幌市白石区本通十七丁目北"
"011040174000","北海道札幌市白石区本通十七丁目南"
"011050010013","北海道札幌市豊平区月寒東二条十三丁目"
"011050011011","北海道札幌市豊平区月寒東三条十一丁目"
"011050012015","北海道札幌市豊平区月寒東四条十五丁目"
"011050012016","北海道札幌市豊平区月寒東四条十六丁目"
"011050013013","北海道札幌市豊平区月寒東五条十三丁目"
"011050013014","北海道札幌市豊平区月寒東五条十四丁目"
"011050013015","北海道札幌市豊平区月寒東五条十五丁目"
"011050013016","北海道札幌市豊平区月寒東五条十六丁目"
"011050013017","北海道札幌市豊平区月寒東五条十七丁目"
"011100027001","北海道札幌市清田区里塚二条一丁目"
"011100028001","北海道札幌市清田区里塚三条一丁目"
"011100029001","北海道札幌市清田区里塚四条一丁目"
"011100039004","北海道札幌市清田区平岡一条四丁目"
"011100039006","北海道札幌市清田区平岡一条六丁目"
"011100040004","北海道札幌市清田区平岡二条四丁目"
"011100040005","北海道札幌市清田区平岡二条五丁目"
"011100040006","北海道札幌市清田区平岡二条六丁目"
"011100041004","北海道札幌市清田区平岡三条四丁目"
"011100041005","北海道札幌市清田区平岡三条五丁目"
"011100041006","北海道札幌市清田区平岡三条六丁目"
"011100042006","北海道札幌市清田区平岡四条六丁目"
"011100043006","北海道札幌市清田区平岡五条六丁目"
"012020015000","北海道函館市宇賀浦町"
"012020033001","北海道函館市鍛治一丁目"
"012020033002","北海道函館市鍛治二丁目"
"012020037000","北海道函館市金堀町"
"012020041002","北海道函館市神山二丁目"
"012020060000","北海道函館市五稜郭町"
"012020071001","北海道函館市陣川一丁目"
"012020088000","北海道函館市高盛町"
"012020092000","北海道函館市千歳町"
"012020094000","北海道函館市千代台町"
"012020098000","北海道函館市時任町"
"012020108000","北海道函館市中島町"
"012020111001","北海道函館市中道一丁目"
"012020111002","北海道函館市中道二丁目"
"012020115000","北海道函館市乃木町"
"012020125001","北海道函館市東山一丁目"
"012020125002","北海道函館市東山二丁目"
"012020125003","北海道函館市東山三丁目"
"012020127000","北海道函館市人見町"
"012020128000","北海道函館市日乃出町"
"012020132000","北海道函館市広野町"
"012020141000","北海道函館市堀川町"
"012020142000","北海道函館市本町"
"012020143001","北海道函館市本通一丁目"
"012020143002","北海道函館市本通二丁目"
"012020149000","北海道函館市的場町"
"012020165000","北海道函館市柳町"
"012020166001","北海道函館市山の手一丁目"
"012020166002","北海道函館市山の手二丁目"
"012050002000","北海道室蘭市入江町"
"012050009000","北海道室蘭市神代町"
"012050011002","北海道室蘭市港北町二丁目"
"012050023000","北海道室蘭市高平町"
"012050030001","北海道室蘭市中島町一丁目"
"012050030002","北海道室蘭市中島町二丁目"
"012050030004","北海道室蘭市中島町四丁目"
"012050031001","北海道室蘭市中島本町一丁目"
"012050031002","北海道室蘭市中島本町二丁目"
"012050035001","北海道室蘭市八丁平一丁目"
"012050035002","北海道室蘭市八丁平二丁目"
"012050035004","北海道室蘭市八丁平四丁目"
"012050035005","北海道室蘭市八丁平五丁目"
"012050045001","北海道室蘭市御崎町一丁目"
"012050049002","北海道室蘭市みゆき町二丁目"
"012050052003","北海道室蘭市輪西町三丁目"
"012070001000","北海道帯広市愛国町"
"012070003000","北海道帯広市愛国町零号"
"012070005000","北海道帯広市愛国町東一線"
"012070006000","北海道帯広市愛国町東二線"
"012070008000","北海道帯広市愛国町南十線"
"012070009000","北海道帯広市愛国町南十一線"
"012070010000","北海道帯広市愛国町南十二線"
"012070011000","北海道帯広市愛国町南八線"
"012070012000","北海道帯広市愛国町南九線"
"012070041000","北海道帯広市稲田町東一線"
"012070043000","北海道帯広市稲田町南八線"
"012070044000","北海道帯広市稲田町南九線"
"012070064027","北海道帯広市大通南二十七丁目"
"012070064028","北海道帯広市大通南二十八丁目"
"012070064029","北海道帯広市大通南二十九丁目"
"012070064030","北海道帯広市大通南三十丁目"
"012070064031","北海道帯広市大通南三十一丁目"
"012070064032","北海道帯広市大通南三十二丁目"
"012070064033","北海道帯広市大通南三十三丁目"
"012070064034","北海道帯広市大通南三十四丁目"
"012070110001","北海道帯広市公園東町一丁目"
"012070110002","北海道帯広市公園東町二丁目"
"012070110004","北海道帯広市公園東町四丁目"
"012070110005","北海道帯広市公園東町五丁目"
"012070150001","北海道帯広市清流東一丁目"
"012070150002","北海道帯広市清流東二丁目"
"012070198020","北海道帯広市西十条南二十丁目"
"012070198024","北海道帯広市西十条南二十四丁目"
"012070198025","北海道帯広市西十条南二十五丁目"
"012070198026","北海道帯広市西十条南二十六丁目"
"012070198027","北海道帯広市西十条南二十七丁目"
"012070198028","北海道帯広市西十条南二十八丁目"
"012070198029","北海道帯広市西十条南二十九丁目"
"012070198030","北海道帯広市西十条南三十丁目"
"012070198031","北海道帯広市西十条南三十一丁目"
"012070198032","北海道帯広市西十条南三十二丁目"
"012070198033","北海道帯広市西十条南三十三丁目"
"012070198034","北海道帯広市西十条南三十四丁目"
"012070200024","北海道帯広市西十一条南二十四丁目"
"012070200025","北海道帯広市西十一条南二十五丁目"
"012070200026","北海道帯広市西十一条南二十六丁目"
"012070200027","北海道帯広市西十一条南二十七丁目"
"012070200028","北海道帯広市西十一条南二十八丁目"
"012070200029","北海道帯広市西十一条南二十九丁目"
"012070200030","北海道帯広市西十一条南三十丁目"
"012070200031","北海道帯広市西十一条南三十一丁目"
"012070200032","北海道帯広市西十一条南三十二丁目"
"012070200033","北海道帯広市西十一条南三十三丁目"
"012070200034","北海道帯広市西十一条南三十四丁目"
"012070202024","北海道帯広市西十二条南二十四丁目"
"012070202025","北海道帯広市西十二条南二十五丁目"
"012070202026","北海道帯広市西十二条南二十六丁目"
"012070202027","北海道帯広市西十二条南二十七丁目"
"012070202028","北海道帯広市西十二条南二十八丁目"
"012070202029","北海道帯広市西十二条南二十九丁目"
"012070202030","北海道帯広市西十二条南三十丁目"
"012070202031","北海道帯広市西十二条南三十一丁目"
"012070202032","北海道帯広市西十二条南三十二丁目"
"012070202033","北海道帯広市西十二条南三十三丁目"
"012070202034","北海道帯広市西十二条南三十四丁目"
"012070204027","北海道帯広市西十三条南二十七丁目"
"012070204028","北海道帯広市西十三条南二十八丁目"
"012070204029","北海道帯広市西十三条南二十九丁目"
"012070204030","北海道帯広市西十三条南三十丁目"
"012070204035","北海道帯広市西十三条南三十五丁目"
"012070204036","北海道帯広市西十三条南三十六丁目"
"012070206028","北海道帯広市西十四条南二十八丁目"
"012070206029","北海道帯広市西十四条南二十九丁目"
"012070206030","北海道帯広市西十四条南三十丁目"
"012070206031","北海道帯広市西十四条南三十一丁目"
"012070206032","北海道帯広市西十四条南三十二丁目"
"012070206036","北海道帯広市西十四条南三十六丁目"
"012070208028","北海道帯広市西十五条南二十八丁目"
"012070208029","北海道帯広市西十五条南二十九丁目"
"012070208030","北海道帯広市西十五条南三十丁目"
"012070208031","北海道帯広市西十五条南三十一丁目"
"012070208032","北海道帯広市西十五条南三十二丁目"
"012070208033","北海道帯広市西十五条南三十三丁目"
"012070208034","北海道帯広市西十五条南三十四丁目"
"012070208036","北海道帯広市西十五条南三十六丁目"
"012070210006","北海道帯広市西十六条南六丁目"
"012070210027","北海道帯広市西十六条南二十七丁目"
"012070210028","北海道帯広市西十六条南二十八丁目"
"012070210029","北海道帯広市西十六条南二十九丁目"
"012070210030","北海道帯広市西十六条南三十丁目"
"012070210031","北海道帯広市西十六条南三十一丁目"
"012070210032","北海道帯広市西十六条南三十二丁目"
"012070210033","北海道帯広市西十六条南三十三丁目"
"012070210034","北海道帯広市西十六条南三十四丁目"
"012070210035","北海道帯広市西十六条南三十五丁目"
"012070212006","北海道帯広市西十七条南六丁目"
"012070212027","北海道帯広市西十七条南二十七丁目"
"012070212028","北海道帯広市西十七条南二十八丁目"
"012070212029","北海道帯広市西十七条南二十九丁目"
"012070212030","北海道帯広市西十七条南三十丁目"
"012070212031","北海道帯広市西十七条南三十一丁目"
"012070212032","北海道帯広市西十七条南三十二丁目"
"012070212033","北海道帯広市西十七条南三十三丁目"
"012070212034","北海道帯広市西十七条南三十四丁目"
"012070212035","北海道帯広市西十七条南三十五丁目"
"012070214027","北海道帯広市西十八条南二十七丁目"
"012070214028","北海道帯広市西十八条南二十八丁目"
"012070214029","北海道帯広市西十八条南二十九丁目"
"012070214030","北海道帯広市西十八条南三十丁目"
"012070214031","北海道帯広市西十八条南三十一丁目"
"012070214032","北海道帯広市西十八条南三十二丁目"
"012070214033","北海道帯広市西十八条南三十三丁目"
"012070214034","北海道帯広市西十八条南三十四丁目"
"012070214035","北海道帯広市西十八条南三十五丁目"
"012070218027","北海道帯広市西一条南二十七丁目"
"012070218028","北海道帯広市西一条南二十八丁目"
"012070218029","北海道帯広市西一条南二十九丁目"
"012070218030","北海道帯広市西一条南三十丁目"
"012070218031","北海道帯広市西一条南三十一丁目"
"012070218032","北海道帯広市西一条南三十二丁目"
"012070218033","北海道帯広市西一条南三十三丁目"
"012070218035","北海道帯広市西一条南三十五丁目"
"012070218036","北海道帯広市西一条南三十六丁目"
"012070232021","北海道帯広市西二条南二十一丁目"
"012070232023","北海道帯広市西二条南二十三丁目"
"012070232024","北海道帯広市西二条南二十四丁目"
"012070232025","北海道帯広市西二条南二十五丁目"
"012070232026","北海道帯広市西二条南二十六丁目"
"012070232027","北海道帯広市西二条南二十七丁目"
"012070232028","北海道帯広市西二条南二十八丁目"
"012070232029","北海道帯広市西二条南二十九丁目"
"012070232030","北海道帯広市西二条南三十丁目"
"012070232031","北海道帯広市西二条南三十一丁目"
"012070232032","北海道帯広市西二条南三十二丁目"
"012070232033","北海道帯広市西二条南三十三丁目"
"012070232034","北海道帯広市西二条南三十四丁目"
"012070232035","北海道帯広市西二条南三十五丁目"
"012070232036","北海道帯広市西二条南三十六丁目"
"012070232037","北海道帯広市西二条南三十七丁目"
"012070232038","北海道帯広市西二条南三十八丁目"
"012070234022","北海道帯広市西三条南二十二丁目"
"012070234023","北海道帯広市西三条南二十三丁目"
"012070234024","北海道帯広市西三条南二十四丁目"
"012070234025","北海道帯広市西三条南二十五丁目"
"012070234026","北海道帯広市西三条南二十六丁目"
"012070234027","北海道帯広市西三条南二十七丁目"
"012070234028","北海道帯広市西三条南二十八丁目"
"012070234029","北海道帯広市西三条南二十九丁目"
"012070234030","北海道帯広市西三条南三十丁目"
"012070234031","北海道帯広市西三条南三十一丁目"
"012070234032","北海道帯広市西三条南三十二丁目"
"012070234033","北海道帯広市西三条南三十三丁目"
"012070234034","北海道帯広市西三条南三十四丁目"
"012070234035","北海道帯広市西三条南三十五丁目"
"012070234036","北海道帯広市西三条南三十六丁目"
"012070234037","北海道帯広市西三条南三十七丁目"
"012070234038","北海道帯広市西三条南三十八丁目"
"012070236022","北海道帯広市西四条南二十二丁目"
"012070236023","北海道帯広市西四条南二十三丁目"
"012070236024","北海道帯広市西四条南二十四丁目"
"012070236025","北海道帯広市西四条南二十五丁目"
"012070236026","北海道帯広市西四条南二十六丁目"
"012070236027","北海道帯広市西四条南二十七丁目"
"012070236028","北海道帯広市西四条南二十八丁目"
"012070236029","北海道帯広市西四条南二十九丁目"
"012070236030","北海道帯広市西四条南三十丁目"
"012070236031","北海道帯広市西四条南三十一丁目"
"012070236032","北海道帯広市西四条南三十二丁目"
"012070236033","北海道帯広市西四条南三十三丁目"
"012070236034","北海道帯広市西四条南三十四丁目"
"012070236035","北海道帯広市西四条南三十五丁目"
"012070236036","北海道帯広市西四条南三十六丁目"
"012070236037","北海道帯広市西四条南三十七丁目"
"012070236038","北海道帯広市西四条南三十八丁目"
"012070238019","北海道帯広市西五条南十九丁目"
"012070238022","北海道帯広市西五条南二十二丁目"
"012070238023","北海道帯広市西五条南二十三丁目"
"012070238024","北海道帯広市西五条南二十四丁目"
"012070238025","北海道帯広市西五条南二十五丁目"
"012070238026","北海道帯広市西五条南二十六丁目"
"012070238027","北海道帯広市西五条南二十七丁目"
"012070238028","北海道帯広市西五条南二十八丁目"
"012070238029","北海道帯広市西五条南二十九丁目"
"012070238030","北海道帯広市西五条南三十丁目"
"012070238031","北海道帯広市西五条南三十一丁目"
"012070238032","北海道帯広市西五条南三十二丁目"
"012070238033","北海道帯広市西五条南三十三丁目"
"012070238034","北海道帯広市西五条南三十四丁目"
"012070238035","北海道帯広市西五条南三十五丁目"
