"都道府県&市区町村コード","地域名"
"2727215","大阪府寝屋川市"
"2727217","大阪府松原市"
"2727218","大阪府大東市"
"2727220","大阪府箕面市"
"2727221","大阪府柏原市"
"2727222","大阪府羽曳野市"
"2727223","大阪府門真市"
"2727224","大阪府摂津市"
"2727226","大阪府藤井寺市"
"2727227","大阪府東大阪市"
"2727229","大阪府四條畷市"
"2727230","大阪府交野市"
"2727231","大阪府大阪狭山市"
"2828101","兵庫県神戸市東灘区"
"2828102","兵庫県神戸市灘区"
"2828105","兵庫県神戸市兵庫区"
"2828106","兵庫県神戸市長田区"
"2828107","兵庫県神戸市須磨区"
"2828109","兵庫県神戸市北区"
"2828110","兵庫県神戸市中央区"
"2828202","兵庫県尼崎市"
"2828204","兵庫県西宮市"
"2828206","兵庫県芦屋市"
"2828207","兵庫県伊丹市"
"2828214","兵庫県宝塚市"
"3131202","鳥取県米子市"
"3131384","鳥取県西伯郡日吉津村"
"3131386","鳥取県西伯郡大山町"
"3434101","広島県広島市中区"
"3434102","広島県広島市東区"
"3434103","広島県広島市南区"
"3434302","広島県安芸郡府中町"
"3838201","愛媛県松山市"
"3939201","高知県高知市"
"3939204","高知県南国市"
"4040132","福岡県福岡市博多区"
"4040133","福岡県福岡市中央区"
"4040134","福岡県福岡市南区"
"4343101","熊本県熊本市中央区"
"4343103","熊本県熊本市西区"
"4343105","熊本県熊本市北区"
"4545202","宮崎県都城市"
"4747201","沖縄県那覇市"
"4747208","沖縄県浦添市"
